"spec","spec_name","model_type","n_obs","r2_pseudo_r2","aic","bic"
1,"Model 1: Solvency Only","LPM",158466,0.0205866399000162,NA,NA
2,"Model 2: Funding Only","LPM",158464,0.0102777588334487,NA,NA
3,"Model 3: Solvency x Funding Interaction","LPM",158464,0.114164267114793,NA,NA
4,"Model 4: Full with Growth Controls","LPM",156098,0.115067384716936,NA,NA
1,"Model 1: Solvency Only","Logit",158466,0.188719736128369,5384.98431542941,5414.90420144415
2,"Model 2: Funding Only","Logit",158464,0.219876367708412,5178.39867016043,5208.31851831192
3,"Model 3: Solvency x Funding Interaction","Logit",158464,0.411750387882633,3910.22989369074,3960.09630727656
4,"Model 4: Full with Growth Controls","Logit",156098,0.445137483442958,3641.45598038296,3750.9966126183
1,"Model 1: Solvency Only","Probit",158466,0.201469222423757,5300.45213849046,5330.3720245052
2,"Model 2: Funding Only","Probit",158464,0.215658907274119,5206.361400475,5236.28124862649
3,"Model 3: Solvency x Funding Interaction","Probit",158464,0.429879274992355,3790.03121274274,3839.89762632856
4,"Model 4: Full with Growth Controls","Probit",156098,0.451754408134535,3598.29273375517,3707.83336599051
