"variable","coefficient","std_error","t_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",-0.000281522044932971,0.000298479980972293,-0.94318568372967,0.345586980356363,-0.000866542807638666,0.000303498717772723
"noncore_ratio",0.00221035616504185,0.000826284034217619,2.67505612296474,0.00747223192326704,0.000590839457975319,0.00382987287210839
"income_ratio",0.00828713242267819,0.00508042944574081,1.63118738507937,0.10285223126742,-0.00167050929097381,0.0182447741363302
"log_age",-1.01803563100883e-05,3.44592706241729e-05,-0.295431566765283,0.767664503511727,-7.77205267334673e-05,5.73598141132907e-05
"growth_cat2",-5.66870664081082e-06,8.46809683286733e-05,-0.0669419203947787,0.946628001625153,-0.000171643404565011,0.000160305991283389
"growth_cat3",-1.67515477890745e-05,8.0331014638842e-05,-0.208531510082219,0.834814176774473,-0.000174200336481205,0.000140697240903056
"growth_cat4",-6.32427024842521e-06,8.69970188214096e-05,-0.0726952524822475,0.942048693238248,-0.000176838427138388,0.000164189886641538
"growth_cat5",-1.59532318916113e-05,0.000101518778596908,-0.157145624800664,0.875130226429095,-0.000214930037941551,0.000183023574158328
"gdp_growth_3years",0.00274245074228553,0.00137952518133356,1.98796714941765,0.0468165723260788,3.8581386871761e-05,0.0054463200976993
"inf_cpi_3years",0.00102364874484958,0.000965543088940927,1.0601792468655,0.289064235592175,-0.000868815709474637,0.0029161131991738
"noncore_ratio:income_ratio",-0.204340669065454,0.0749025349530126,-2.72808749655321,0.00637078111032322,-0.351149637573358,-0.0575317005575489
