"variable","coefficient","std_error","t_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",0.00923886845953959,0.00436814658262032,2.11505458546162,0.0344347093216307,0.000677301157603775,0.0178004357614754
"noncore_ratio",0.542056618881075,0.52720854659854,1.02816356521216,0.303882385702902,-0.491272132452063,1.57538537021421
"surplus_ratio",-0.0218566257226141,0.00464305656465033,-4.70737873172134,2.52205078037828e-06,-0.0309570165893288,-0.0127562348558995
"profit_shortfall",0.00734576551470937,0.00697439497778926,1.05324770651831,0.292237192148087,-0.00632404864175757,0.0210155796711763
"emergency_borrowing",0.217551045329136,0.540192399684765,0.402728815614752,0.687151019020022,-0.841226058053003,1.27632814871127
"loan_ratio",0.0120334658052296,0.00463842359858612,2.59430074667989,0.00948363027807306,0.0029421555520008,0.0211247760584584
"leverage",-0.0481365195376924,0.00492610118886422,-9.77172771978541,1.6268485476122e-22,-0.0577916778678662,-0.0384813612075185
"log_age",0.00266619064302953,0.00109140559884188,2.44289624852455,0.0145764826333868,0.000527035669299437,0.00480534561675962
"gdp_growth_3years",-0.0114006255109186,0.00674272156203433,-1.69080473011241,0.0908859978515257,-0.0246163597725058,0.00181510875066871
"inf_cpi_3years",-0.0414701175840178,0.00865376557805246,-4.79214709596406,1.65909295371116e-06,-0.0584314981170006,-0.024508737051035
"noncore_ratio:surplus_ratio",-0.786393701707616,1.18555315605385,-0.663313743202499,0.507135472406726,-3.11007788757316,1.53729048415793
"noncore_ratio:profit_shortfall",0.183155779584209,1.30989266982131,0.139825028266778,0.888799312650044,-2.38423385326556,2.75054541243397
"surplus_ratio:emergency_borrowing",-0.0289998139201142,1.21718611854828,-0.0238252913652202,0.980992147623198,-2.41468460627473,2.35668497843451
"profit_shortfall:emergency_borrowing",0.265742543442425,1.34580680470044,0.1974596520944,0.843469384547575,-2.37203879377044,2.90352388065529
